id;category;expected_intent;config;rep;predicted_intent;latency_ms;sources_count;top_source_ids;top_source_scores;answer_length;answer;error;Correctness;Hallucination;ConfigErrors;Notes
T1;tool-selection;service;RAG;3;service;8063;4;MMT-PROBE|AI4SOAR|CI-SIM|MAG;0.740|0.687|0.684|0.673;653;"Deploy **MMT-PROBE** (shortName: `MMT-PROBE`).  

It runs as a sidecar in the target pod’s network namespace, captures packet-level traffic, performs deep packet inspection, and emits security alerts/reports that can be consumed by downstream tools (e.g., AI4SOAR).  

Key details:
- **Provider**: Montimage (MTI)  
- **Category**: Monitor  
- **Inputs**: Pod network traffic (via `HOST_INTERFACE` or `-i` argument)  
- **Outputs**: DPI alerts & reports  
- **Docker image**: `registry.montimage.eu/montimage-mti/mmt-probe:v1.0.0`  
- **Requirements**: `NET_ADMIN` and `NET_RAW` capabilities; configured via `mmt-probe.conf` or `HOST_INTERFACE` env var.";;Correct;No;;recommends MMT-PROBE
T2;tool-selection;service;RAG;3;service;3207;4;AI4SOAR|CI-SIM|MMT-PROBE|MAG;0.625|0.620|0.618|0.591;286;**AI4SOAR** (shortName: `AI4SOAR`) — the Reaction‑category SOAR service. It ingests alerts from MMT‑Probe and executes namespace‑scoped Kubernetes playbooks, including **NetworkPolicy creation** to cut off the attacker’s pod from the network (as well as pod deletion or job scale‑down).;;Correct;No;;recommends AI4SOAR
T3;tool-selection;service;RAG;3;service;6319;4;SECVDR|SECDEVTWIN|SECINTERP|SECASSURE4AI;0.747|0.576|0.575|0.569;696;"Use **SECVDR** (shortName: `SECVDR`, provider: CERTH).  

It’s designed exactly for this: you provide your **source code and configuration files**, and it returns **detected vulnerabilities with automated fix suggestions** using fine‑tuned CodeBERT and GenAI models.  

Key details:
- **Inputs:** Source & Configuration Code  
- **Outputs:** Vulnerability Fixes (detected issues + fix proposals)  
- **Potential:** ~50 % of vulnerabilities repaired with minimal human intervention  
- **Docker image:** `registry.montimage.eu/certh/secvdr:v1.0.0`  
- **TRL:** current 5 → expected 7  

Deploy the container, feed it your codebase, and you’ll get a report with both findings and suggested patches.";;Correct;No;;recommends SECVDR
T4;tool-selection;service;RAG;3;service;5037;4;SECINTERP|CSAM|SECNCD|SECSAC;0.697|0.615|0.591|0.580;634;"**SECINTERP** (shortName: `SECINTERP`) is the service designed for this.

Its **Level 1 – Cybersecurity Standard Mapping Assistant** explicitly “advises non‑cybersecurity experts on relevant norms and standards based on their role and industry sector.”  

- **Provider:** Tecnalia (TEC)  
- **Category:** Dev Services  
- **Type:** Web‑based software (Docker image: `registry.montimage.eu/tecnalia-tec-/secinterp:v1.0.0`)  
- **Key standards it covers:** IEC 62443‑4‑2, IEEE 1686, IEC 62351  

You would provide your role and sector, and the assistant returns a tailored mapping of applicable cybersecurity standards and requirements.";;Correct;No;;recommends SECINTERP
T5;tool-selection;service;RAG;3;service;6898;4;SECASSURE4AI|SECATTSIM|SECANOD|AI4SOAR;0.629|0.616|0.587|0.562;1699;"To test your ML component's resistance to adversarial attacks, you can use two complementary services from the repository:

**1. SECASSURE4AI (Security Assurance Service for AI Components)**  
- **Purpose**: Automates security and robustness testing of AI/ML models using integrated AML (Adversarial Machine Learning) tools.  
- **Input**: Your AI/ML component or model.  
- **Output**: An **AI Assurance Report** covering security, explainability, fairness, and **robustness** assessment results.  
- **Coverage**: Claims ≥50% of relevant AI/ML attacks tested automatically for at least two use cases.  
- **Deployment**: Docker image `registry.montimage.eu/tecnalia-tec-/secassure4ai:v1.0.0` (web UI).

**2. SECATTSIM (Attack and Incident Simulator)**  
- **Purpose**: Simulates **white-box and black-box adversarial AI attacks** against your component in realistic IoT/edge/cloud operation scenarios.  
- **Input**: Operation scenario and system definitions.  
- **Output**: Simulated adversarial attack/incident traces.  
- **Strength**: Uses reinforcement-learning-guided and LLM-generated attack controls to emulate emerging attack patterns.  
- **Deployment**: Docker image `registry.montimage.eu/tecnalia-tec-/secattsim:v1.0.0` (web UI).

**Suggested workflow**  
1. Package your ML component as a testable artifact.  
2. Run **SECASSURE4AI** for automated robustness benchmarking and an assurance report.  
3. Use **SECATTSIM** to replay advanced, scenario-driven adversarial attacks and observe component behavior under pressure.

Both services are at TRL 4 (expected 7) and provided by Tecnalia (TEC). If you need help setting up the Docker images or defining test scenarios, let me know.";;Correct;No;;recommends SECASSURE4AI
T6;tool-selection;service;RAG;3;service;3188;4;SECNCD|SECDEVTWIN|SECOPSTWIN|SECSAC;0.713|0.612|0.599|0.595;566;"**SECNCD** (AI-based Non-Compliance Detector) is the best fit.

- **Purpose**: Identifies regulatory and security gaps **at design time** (and runtime) by checking system artefacts against applicable regulations/standards.
- **Inputs**: System & compliance requirements, design-time artefacts.
- **Outputs**: Non-compliance report with identified gaps and recommended changes.
- **Provider**: CERTH | **Category**: Dev Services
- **Docker**: `registry.montimage.eu/certh/secncd:v1.0.0`

This tool directly targets pre-deployment design-time compliance gap detection.";;Correct;No;;recommends SECNCD
B1;ambiguity;service;RAG;3;service;4637;4;MMT-PROBE|HTTP-SIM|MAG|AI4SOAR;0.673|0.614|0.527|0.524;1119;"**MMT-PROBE** (MMT Traffic Analysis Probe) — *shortName: **MMT-PROBE***  

- **Provider:** Montimage (MTI)  
- **Category:** Monitor  
- **Type:** Software (Docker image: `registry.montimage.eu/montimage-mti/mmt-probe:v1.0.0`)  
- **UI:** Web  
- **TRL:** Current 7 → Expected 8  
- **License:** TBD  

**What it does**  
A deep-packet-inspection (DPI) probe shipped as the `montimage/mmt` container. It runs as a sidecar in the target pod’s network namespace (requires `NET_ADMIN` + `NET_RAW`), configured via `mmt-probe.conf` (libconfig) or the `HOST_INTERFACE` environment variable. It emits security alerts and analysis reports that are consumed by **AI4SOAR** for automated response.

**Inputs**  
- Pod network traffic (packets on the target pod interface, via `HOST_INTERFACE` / `-i` argument)

**Outputs**  
- DPI alerts & reports (security output-channel alerts and analysis reports)

**Typical use case**  
Monitor module in the Montimage **attack → detect → respond** scenario (works alongside **MAG** for attack generation, **HTTP-SIM** as the target workload, and **AI4SOAR** for orchestrated remediation).";;Partial;No;;1 candidates named
B2;ambiguity;service;RAG;3;service;8049;4;AI4SOAR|SECANOD|ITPAERO-CLUSTER|SECSAC;0.524|0.518|0.479|0.473;638;"The catalog includes **AI4SOAR** (shortName: **AI4SOAR**), an AI-driven Security Orchestration and Response platform from Montimage (MTI).

**What it does:**
- Ingests security alerts from MMT-Probe
- Executes namespace-scoped Kubernetes playbook responses:
  - Creates NetworkPolicies
  - Deletes pods
  - Scales down Jobs
- Exposes a web UI/API on port 5000
- Runs as a Shuffle-based SOAR stack with a dedicated ServiceAccount

**Category:** Reaction  
**Current TRL:** 5 (target 8)  
**Docker image:** `registry.montimage.eu/montimage-mti/ai4soar:v1.0.0`

It serves as the reaction module in Montimage’s attack→detect→respond scenario.";;Partial;No;;1 candidates named
B3;ambiguity;service;RAG;3;service;6128;4;HTTP-SIM|CI-SIM|SECSIM|SECATTSIM;0.558|0.548|0.536|0.525;1049;"There are **four simulators** in the repository. Which one are you interested in?

| Short Name | Title | Category | Provider | Key Focus |
|------------|-------|----------|----------|-----------|
| **HTTP-SIM** | Simulated HTTP Server | Target | Montimage (MTI) | Simple HTTP victim workload (`GET /` → 200) for attack→detect→respond scenarios |
| **CI-SIM** | Critical Infrastructure Simulation | Target | Montimage (MTI) | HTTP service with admin API (`/admin/block`, `/admin/unblock`) and rate‑limit self‑stop/restart demo |
| **SECSIM** | Assurance-driven Simulator (secSIM) | Dev Services | Montimage (MTI) | Proactive/predictive security impact analysis across architecture, functional & non‑functional layers; IoT + SOAR + zero‑trust |
| **SECATTSIM** | Attack and Incident Simulator (secAttSIM) | Ops Services | Tecnalia (TEC) | White‑box/black‑box adversarial AI attacks, RL‑guided & LLM‑generated attack controls for IoT‑edge‑cloud systems |

Let me know the **shortName** (or the use case you have in mind) and I’ll give you the details.";;Correct;No;;4 candidates named, asks
N1;constraint;service;RAG;3;service;2811;4;SECAISOAR|SECANOD|MAG|PPC-EMOB;0.518|0.517|0.504|0.495;343;"Based on the repository context, Montimage (MTI) provides three services:

- **SECAISOAR** – category: **Ops Services**
- **SECANOD** – category: **Ops Services**
- **MAG** – category: **Attack**

The only Montimage service **not** in the Ops Services category is **MAG** (Montimage Attack Generator), which belongs to the **Attack** category.";;Partial;No;;lists only MAG, implied exhaustive (retrieval-bound)
N2;constraint;service;RAG;3;service;3172;4;AST-DEDISRV|ORO-3GPP16|SAVVY-DEVSRV|PPC-EMOB;0.534|0.526|0.519|0.511;422;"Based on the current repository context, there are **no Tecnalia services** listed. The four services available are from:

- **AST (Assist Software)** – AST-DEDISRV  
- **ORO (Orange Romania)** – ORO-3GPP16  
- **SAVVY (Savvy Data Systems)** – SAVVY-DEVSRV  
- **PPC** – PPC-EMOB  

If you have a broader repository or additional context that includes Tecnalia services, please provide it and I can check their TRL values.";;Incorrect;No;;retrieval miss: no Tecnalia services retrieved, misses SECSAC
N3;constraint;service;RAG;3;service;9383;4;SECANOD|SECAISOAR|SECASSURE4AI|AI4SOAR;0.636|0.633|0.627|0.623;711;"Based on the repository context, **all services in the attack-detect-respond scenario are software-only web tools** — none differ from that model.

- **AI4SOAR** is explicitly described as the “Reaction module in the Montimage attack→detect→respond scenario” (type: Software, uiType: web).  
- **SECANOD** (detection) and **SECAISOAR** (response/orchestration) are both Montimage Ops Services with type: Software, uiType: web.  
- **SECASSURE4AI** is a Dev Service (AI assurance) and also type: Software, uiType: web, but it is not framed as part of the attack-detect-respond flow.

No service in the provided context has a different type (e.g., hardware, managed service) or a non-web UI (e.g., CLI, API-only).";;Incorrect;Yes;;"treats retrieved SECANOD/SECAISOAR/SECASSURE4AI as scenario members; misses MAG terminal"
H1;multi-hop;service;RAG;3;service;1738;4;AST-DEDISRV|SAVVY-DEVSRV|SPS-DEVSECOPS|SECVDR;0.627|0.606|0.591|0.552;243;Based on the repository context, **CERTH** is the only provider with a service in the **Dev Services** category — **SECVDR** (Vulnerability Discovery and Repair). No other providers have services listed under that category in the current data.;;Incorrect;No;;"says CERTH (1 service); true answer Tecnalia (3) - beyond k"
H2;multi-hop;service;RAG;3;service;4931;4;MMT-PROBE|MAG|HTTP-SIM|ORO-3GPP16;0.545|0.518|0.507|0.500;330;"Among the Montimage (MTI) services in the repository, **MAG** and **HTTP-SIM** are tied for the lowest current TRL at **6** (expected 8).  

- **MAG** (Montimage Attack Generator) – current TRL 6  
- **HTTP-SIM** (Simulated HTTP Server) – current TRL 6  

The other Montimage service, **MMT-PROBE**, has a higher current TRL of 7.";;Incorrect;No;;"says MAG/HTTP-SIM TRL 6; true SECANOD TRL 3 - beyond k"
