id,category,expected_intent,config,rep,predicted_intent,latency_ms,sources_count,top_source_ids,top_source_scores,answer_length,answer,error
F1,factual,service,RAG,1,service,9604,4,SECVDR|SECDEVTWIN|SECAISOAR|SECOPSTWIN,0.835|0.684|0.663|0.647,85,The provider of the Vulnerability Discovery and Repair service (SECVDR) is **CERTH**.,
F1,factual,service,COLD,1,rag-off,4939,0,,,205,"The repository context indicates that no relevant services were retrieved from the catalog, so the provider for the Vulnerability Discovery and Repair service (secVDR) is not available in the current data.",
F2,factual,service,RAG,1,service,18832,4,MMT-PROBE|HTTP-SIM|ORO-3GPP16|AI4SOAR,0.735|0.667|0.592|0.579,93,The current Technology Readiness Level (TRL) of **MMT-PROBE** is **7** (expected to reach 8).,
F2,factual,service,COLD,1,rag-off,5041,0,,,251,"The repository context does not contain any information about the MMT Traffic Analysis Probe (MMT-PROBE) or its Technology Readiness Level (TRL). This service was not retrieved from the catalog, so its TRL cannot be determined from the available data.",
F3,factual,service,RAG,1,service,4068,4,MAG|HTTP-SIM|MMT-PROBE|SECANOD,0.804|0.639|0.636|0.617,89,The Montimage Attack Generator (MAG) belongs to the **Attack** category. (shortName: MAG),
F3,factual,service,COLD,1,rag-off,13106,0,,,170,"The repository context provided does not contain any information about the Montimage Attack Generator (MAG), so its category cannot be determined from the available data.",
F4,factual,service,RAG,1,service,5585,4,AALTO-LUMI|AALTO-EDGE5G|ITPAERO-CLUSTER|SECSIM,0.796|0.659|0.582|0.567,77,The LUMI Supercomputer (shortName: **AALTO-LUMI**) is a **Hardware** service.,
F4,factual,service,COLD,1,rag-off,6842,0,,,342,"The LUMI Supercomputer (AALTO-LUMI) does not appear in the current service catalog. I don't have any repository data about this service to determine whether it's classified as software or hardware.

If you have additional details (e.g., provider, shortName, or category), I can help you look for it or find similar services in the repository.",
F5,factual,service,RAG,1,service,11901,4,CSAM|SECSAC|SECINTERP|SECSIM,0.847|0.666|0.647|0.643,444,"The **CSAM** (Compliance and Security Assurance Model) supports the following standards and regulations:

- ISO/IEC 15408  
- EUCC  
- EN 17927  
- EN 17640  
- Cyber Security Act  
- Cyber Resilience Act  
- AI Act  

These are drawn from the service’s repository entry, which describes CSAM as a modular assurance model aligning with certification schemes, standards, and regulations including GDPR, the AI Act, and ISO 8000 for data quality.",
F5,factual,service,COLD,1,rag-off,2752,0,,,448,"I don't have any information about the Compliance and Security Assurance Model (CSAM) or its supported standards in the current repository context. The catalog didn't return any relevant services for this query.

If you have a specific service name or shortName from the platform that relates to CSAM, I could look up its details. Otherwise, you may need to check the platform's documentation or service catalog directly for CSAM-related standards.",
F6,factual,service,RAG,1,service,19624,4,AI4SOAR|SECASSURE4AI|AALTO-LUMI|SECAISOAR,0.645|0.579|0.548|0.522,88,"AI4SOAR takes **Security Alerts** — specifically, detection alerts emitted by MMT-Probe.",
F6,factual,service,COLD,1,rag-off,3229,0,,,276,"I don't see any service named **AI4SOAR** in the current repository context — no matching services were retrieved.

If you have additional details (e.g., provider name, alternative spelling, or a shortName), I can look again. Otherwise, this service may not be in the catalog.",
F7,factual,service,RAG,1,service,4905,4,SECSAC|SECSIM|SECOPSTWIN|SECINTERP,0.798|0.706|0.665|0.657,137,"The **Security Assurance Case Tool (secSAC)** produces a **Security Assurance Case** — a structured, OSCAL-based assurance case document.",
F7,factual,service,COLD,1,rag-off,5243,0,,,364,"The Security Assurance Case Tool (secSAC) is not present in the current repository context — no relevant services were retrieved from the catalog. I don't have information about its outputs or capabilities.

If you have a service ID, provider name, or other details, I can try to locate it in the catalog. Otherwise, you may need to add it to the repository first.",
F8,factual,service,RAG,1,service,23066,4,ORO-5GLAB|ORO-3GPP16|AALTO-EDGE5G|PPC-EMOB,0.874|0.784|0.680|0.593,92,The license for **ORO-5GLAB (Orange 5G Lab)** is listed as **N/A (Partner Infrastructure)**.,
F8,factual,service,COLD,1,rag-off,7289,0,,,267,"The repository context does not contain any information about a service named ""Orange 5G Lab (ORO-5GLAB)"", so its license details are unavailable from the current catalog. If you have additional identifiers (e.g., provider, version, or catalog ID), I can check again.",
F9,factual,service,RAG,1,service,9029,4,SECOPSTWIN|SECDEVTWIN|SECANOD|SECAISOAR,0.696|0.656|0.566|0.562,89,The title of **SECOPSTWIN** is **Assurance-driven Security Operation Twin (SecOpsTwin)**.,
F9,factual,service,COLD,1,rag-off,9574,0,,,117,The service **SECOPSTWIN** was not found in the current repository catalog. No title or details are available for it.,
F10,factual,service,RAG,1,service,13857,4,MAG|HTTP-SIM|MMT-PROBE|AI4SOAR,0.605|0.533|0.532|0.490,163,MAG provides a **terminal (CLI) interface** — it’s driven from a shell via `kubectl exec` using commands like `mag <attack> --target-ip <ip> --target-port <port>`.,
F10,factual,service,COLD,1,rag-off,36971,0,,,251,"I don't have any information about a service called ""MAG"" in the current repository context. The catalog search returned no relevant services.

If you can provide the service's **shortName** or more details about what MAG refers to, I can check again.",
C1,comparative,service,RAG,1,service,7322,4,MMT-PROBE|MAG|AI4SOAR|SECANOD,0.571|0.556|0.541|0.502,680,"All four services in the repository are provided by **Montimage (MTI)**:

| Short Name | Service Title | Category |
|------------|---------------|----------|
| **MMT-PROBE** | MMT Traffic Analysis Probe | Monitor |
| **MAG** | Montimage Attack Generator | Attack |
| **AI4SOAR** | AI-driven Security Orchestration and Response | Reaction |
| **SECANOD** | AI-based Attack/Anomaly Detection (secAnoD) | Ops Services |

These form the Montimage **attack → detect → respond** scenario:
- **MAG** generates attack traffic
- **MMT-PROBE** monitors and detects via DPI
- **AI4SOAR** orchestrates Kubernetes-level responses
- **SECANOD** adds AI/ML-based anomaly detection and prediction",
