id;category;expected_intent;config;rep;predicted_intent;latency_ms;sources_count;top_source_ids;top_source_scores;answer_length;answer;Correctness;Intent_ok;Hallucination;Notes
F1;factual;service;RAG;3;service;34519;4;MONT-MMT|MONT-NFZ|MON-01|MON-02;0.704|0.632|0.618|0.603;145;The Montimage Monitoring Tool (MONT-MMT) uses the **MIT License** (Open Source). This information is explicitly stated in the repository context.;Correct;Yes;No;
F1;factual;service;COLD;3;rag-off;45887;0;;;271;The Montimage Monitoring Tool is not listed in the MI Digital Twin Management Platform repository, so its licensing details are unavailable through this platform. For accurate information, please consult the tool's official documentation or contact its provider directly.;Refused;Yes;No;
F2;factual;service;RAG;3;service;40798;4;K3Y-K3CR|K3Y-TRUSTEE|CORE-02|SEC-01;0.685|0.570|0.555|0.549;54;The provider of K3CyberRadar (K3CR) Probes is **K3Y**.;Correct;Yes;No;
F2;factual;service;COLD;3;rag-off;30532;0;;;173;The repository context does not contain information about K3CyberRadar or its provider. Please provide additional details or check the platform catalog for further insights.;Refused;Yes;No;
F3;factual;service;RAG;3;service;50814;4;TUC-NIDS|BEYOND-DD|TOOL-02|THALES-CR;0.713|0.598|0.596|0.596;94;The current Technology Readiness Level (TRL) of the **TUC-NIDS** (FPGA-NIDS) service is **5**.;Correct;Yes;No;
F3;factual;service;COLD;3;rag-off;52815;0;;;244;The repository context indicates that no relevant services were retrieved, including information about the FPGA-NIDS service. Therefore, the current Technology Readiness Level (TRL) for FPGA-NIDS is **unavailable** in the provided catalog data.;Refused;Yes;No;
F4;factual;service;RAG;3;service;26094;4;SIEMENS-ROSCO|SEC-03|SBA-SPLIT|SBA-CAST;0.866|0.614|0.605|0.585;99;The Runtime Security Pipeline (ROSCO-eBPF) belongs to the **Automated Threat Inspection** category.;Correct;Yes;No;
F4;factual;service;COLD;3;rag-off;38343;0;;;132;The information about the category of the Runtime Security Pipeline (ROSCO-eBPF) is not available in the current repository context.;Refused;Yes;No;
F5;factual;service;RAG;3;service;56931;4;BEYOND-DD|BEYOND-HSM|RAN-02|SIEMENS-PAC;0.806|0.625|0.567|0.563;145;"The Data Diode (BEYOND-DD) is a **hardware** service. It is described as ""Hardware-based unidirectional data transfer"" in the repository context.";Correct;Yes;No;
F5;factual;service;COLD;3;rag-off;42762;0;;;188;The information about the Data Diode (BEYOND-DD) is not available in the current repository context. Please check the platform catalog or provide additional details for further assistance.;Refused;Yes;No;
F6;factual;service;RAG;3;service;34011;4;BEYOND-HSM|BEYOND-DD|HE-02|MON-02;0.772|0.594|0.592|0.558;76;BEYOND-HSM supports the following standards: **PKCS#11** and **FIPS 140-2**.;Correct;Yes;No;
F6;factual;service;COLD;3;rag-off;38614;0;;;230;The repository catalog does not currently contain information about BEYOND-HSM or its supported standards. For detailed specifications, please consult the official BEYOND-HSM documentation or contact the service provider directly.;Refused;Yes;No;
F7;factual;service;RAG;3;service;33538;4;MONT-MMT|MONT-NFZ|TEST-03|TEST-04;0.606|0.552|0.523|0.514;95;MONT-MMT takes **Network Traffic** as input, specifically **live or captured network traffic**.;Correct;Yes;No;
F7;factual;service;COLD;3;rag-off;35315;0;;;290;"The repository context indicates that no relevant services were retrieved, including information about ""MONT-MMT."" Therefore, details about its inputs are unavailable in the current catalog. For further assistance, please consult the MI Digital Twin Management Platform repository directly.";Refused;Yes;No;
F8;factual;service;RAG;3;service;48062;4;SIEMENS-LLM|ULANCS-PTI|TEST-02|SIEMENS-ROSCO;0.871|0.623|0.618|0.616;268;"The SIEMENS-LLM Threat Modelling Tool produces the following outputs:  
- **Threat Model**  
- **Identified threats and mitigations**  

These outputs are derived from inputs like system descriptions and architecture documents, using STRIDE and MITRE ATT&CK standards.";Correct;Yes;No;
F8;factual;service;COLD;3;rag-off;32494;0;;;245;The SIEMENS LLM Threat Modelling Tool is not listed in the current repository catalog. For detailed information about this tool's outputs or capabilities, please consult the official SIEMENS documentation or the broader cybersecurity repository.;Refused;Yes;No;
F9;factual;service;RAG;3;service;31496;4;AXON-OSSR|RAN-01|CORE-02|SEC-01;0.898|0.612|0.605|0.600;86;The AXON Open Security Service Repository (OSSR) is licensed under **Apache 2.0/MIT**.;Correct;Yes;No;
F9;factual;service;COLD;3;rag-off;35907;0;;;244;The license information for the AXON Open Security Service Repository (OSSR) is not available in the current repository context. For precise licensing details, please consult AXON's official documentation or contact their support team directly.;Refused;Yes;No;
F10;factual;service;RAG;3;service;38681;4;THALES-CR|MON-01|TOOL-02|AIRBUS-ORION;0.633|0.520|0.517|0.472;41;The title of THALES-CR is **CyberRange**.;Correct;Yes;No;
F10;factual;service;COLD;3;rag-off;46339;0;;;250;"The repository context retrieved does not contain any information about a service or entity named ""THALES-CR."" Therefore, I cannot provide the title or details about it. Please verify the name or consult the repository catalog for further assistance.";Refused;Yes;No;
