id;category;expected_intent;config;rep;predicted_intent;latency_ms;sources_count;top_source_ids;top_source_scores;answer_length;answer;Correctness;Intent_ok;Hallucination;Notes
F1;factual;service;RAG;2;service;30158;4;MONT-MMT|MONT-NFZ|MON-01|MON-02;0.704|0.632|0.618|0.603;145;The Montimage Monitoring Tool (MONT-MMT) uses the **MIT License** (Open Source). This information is explicitly stated in the repository context.;Correct;Yes;No;
F1;factual;service;COLD;2;rag-off;29047;0;;;264;The Montimage Monitoring Tool is not listed in the MI Digital Twin Management Platform repository. For license information, please consult the tool's official documentation or contact its provider directly. Let me know if you need help locating official resources!;Refused;Yes;No;
F2;factual;service;RAG;2;service;47772;4;K3Y-K3CR|K3Y-TRUSTEE|CORE-02|SEC-01;0.685|0.570|0.555|0.549;54;The provider of K3CyberRadar (K3CR) Probes is **K3Y**.;Correct;Yes;No;
F2;factual;service;COLD;2;rag-off;25591;0;;;173;The repository context does not contain information about K3CyberRadar or its provider. Please provide additional details or check the platform catalog for further insights.;Refused;Yes;No;
F3;factual;service;RAG;2;service;45082;4;TUC-NIDS|BEYOND-DD|TOOL-02|THALES-CR;0.713|0.598|0.596|0.596;94;The current Technology Readiness Level (TRL) of the **TUC-NIDS** service (FPGA-NIDS) is **5**.;Correct;Yes;No;
F3;factual;service;COLD;2;rag-off;69115;0;;;235;The repository context does not contain any information about the Technology Readiness Level (TRL) of the FPGA-NIDS service or its details. Please consult the MI Digital Twin Management Platform catalog for updated service information.;Refused;Yes;No;
F4;factual;service;RAG;2;service;40879;4;SIEMENS-ROSCO|SEC-03|SBA-SPLIT|SBA-CAST;0.866|0.614|0.605|0.585;99;The Runtime Security Pipeline (ROSCO-eBPF) belongs to the **Automated Threat Inspection** category.;Correct;Yes;No;
F4;factual;service;COLD;2;rag-off;30656;0;;;187;The Runtime Security Pipeline (ROSCO-eBPF) is not recognized in the current MI Digital Twin Management Platform catalog. No relevant service information was retrieved from the repository.;Refused;Yes;No;
F5;factual;service;RAG;2;service;61754;4;BEYOND-DD|BEYOND-HSM|RAN-02|SIEMENS-PAC;0.806|0.625|0.567|0.563;214;"The Data Diode (BEYOND-DD) is a **hardware** service. Its description explicitly states it is ""Hardware-based unidirectional data transfer,"" and the ""type"" field in the repository context is listed as **Hardware**.";Correct;Yes;No;
F5;factual;service;COLD;2;rag-off;45322;0;;;306;The repository context indicates that no relevant services were retrieved, including information about the Data Diode (BEYOND-DD). Therefore, details about whether it is a software or hardware service are unavailable in the current context. For precise information, consult the platform's catalog directly.;Refused;Yes;No;
F6;factual;service;RAG;2;service;47194;4;BEYOND-HSM|BEYOND-DD|HE-02|MON-02;0.772|0.594|0.592|0.558;76;BEYOND-HSM supports the following standards: **PKCS#11** and **FIPS 140-2**.;Correct;Yes;No;
F6;factual;service;COLD;2;rag-off;33941;0;;;230;The repository catalog does not currently contain information about BEYOND-HSM or its supported standards. For detailed specifications, please consult the official BEYOND-HSM documentation or contact the service provider directly.;Refused;Yes;No;
F7;factual;service;RAG;2;service;51692;4;MONT-MMT|MONT-NFZ|TEST-03|TEST-04;0.606|0.552|0.523|0.514;95;MONT-MMT takes **Network Traffic** as input, specifically **Live or captured network traffic**.;Correct;Yes;No;
F7;factual;service;COLD;2;rag-off;32245;0;;;290;"The repository context indicates that no relevant services were retrieved, including information about ""MONT-MMT."" Therefore, details about its inputs are unavailable in the current catalog. For further assistance, please consult the MI Digital Twin Management Platform repository directly.";Refused;Yes;No;
