id;category;expected_intent;config;rep;predicted_intent;latency_ms;sources_count;top_source_ids;top_source_scores;answer_length;answer;error;Correctness;Intent_ok;Hallucination;Notes
F1;factual;service;RAG;2;service;18020;4;SECVDR|SECDEVTWIN|SECAISOAR|SECOPSTWIN;0.835|0.684|0.663|0.647;85;The provider of the Vulnerability Discovery and Repair service (SECVDR) is **CERTH**.;;Correct;Yes;No;auto
F1;factual;service;COLD;2;rag-off;13331;0;;;197;The provider information for the Vulnerability Discovery and Repair service (secVDR) is not available in the current repository context. No relevant service details were retrieved from the catalog.;;Refused;Yes;No;auto
F2;factual;service;RAG;2;service;19806;4;MMT-PROBE|HTTP-SIM|ORO-3GPP16|AI4SOAR;0.735|0.667|0.592|0.579;100;The current Technology Readiness Level (TRL) of the MMT Traffic Analysis Probe (MMT-PROBE) is **7**.;;Correct;Yes;No;auto
F2;factual;service;COLD;2;rag-off;21104;0;;;335;The repository context does not contain information about the Technology Readiness Level (TRL) of the MMT Traffic Analysis Probe (MMT-PROBE). This detail is unavailable in the current catalog. For further assistance, consider consulting the platform's official documentation or contacting support for detailed technical specifications.;;Refused;Yes;No;auto
F3;factual;service;RAG;2;service;16739;4;MAG|HTTP-SIM|MMT-PROBE|SECANOD;0.804|0.639|0.636|0.617;72;The Montimage Attack Generator (MAG) belongs to the **Attack** category.;;Correct;Yes;No;auto
F3;factual;service;COLD;2;rag-off;13437;0;;;234;The Montimage Attack Generator (MAG) is not listed in the current repository catalog, so its category cannot be determined from the provided context. Please verify the service name or consult the repository's full catalog for details.;;Refused;Yes;No;auto
F4;factual;service;RAG;2;service;14869;4;AALTO-LUMI|AALTO-EDGE5G|ITPAERO-CLUSTER|SECSIM;0.796|0.659|0.582|0.567;289;The LUMI Supercomputer (AALTO-LUMI) is a **hardware** service. Its `type` is explicitly listed as **Hardware** in the repository context. While it includes a web-based UI (`uiType: web`) and Docker images for software components, the core service is categorized as hardware infrastructure.;;Correct;Yes;No;auto
F4;factual;service;COLD;2;rag-off;13852;0;;;289;The repository context does not contain information about the LUMI Supercomputer (AALTO-LUMI). Therefore, I cannot confirm whether it is classified as a software or hardware service based on the available data. For precise details, consult external sources or the provider's documentation.;;Refused;Yes;No;auto
F5;factual;service;RAG;2;service;37536;4;CSAM|SECSAC|SECINTERP|SECSIM;0.847|0.666|0.647|0.643;586;"The Compliance and Security Assurance Model (CSAM) supports the following standards and regulations:  
- **ISO/IEC 15408** (Common Criteria)  
- **EUCC** (European Cybersecurity Certification Scheme)  
- **EN 17927** (Cybersecurity for industrial systems)  
- **EN 17640** (Cybersecurity risk management for industrial systems)  
- **Cyber Security Act** (EU regulation)  
- **Cyber Resilience Act** (EU regulation)  
- **AI Act** (EU regulation)  

It also aligns with **GDPR** (data protection regulation) and **ISO 8000** (data quality standards) as part of its compliance framework.";;Correct;Yes;No;auto
F5;factual;service;COLD;2;rag-off;14818;0;;;248;The repository context does not provide specific information about the Compliance and Security Assurance Model (CSAM) or the standards it supports. For detailed insights, please consult official documentation or contact the platform's support team.;;Refused;Yes;No;no context (cold)
F6;factual;service;RAG;2;service;10987;4;AI4SOAR|SECASSURE4AI|AALTO-LUMI|SECAISOAR;0.645|0.579|0.548|0.522;99;AI4SOAR takes **Security Alerts** as input, specifically **Detection alerts emitted by MMT-Probe**.;;Correct;Yes;No;auto
F6;factual;service;COLD;2;rag-off;14752;0;;;249;The repository context does not contain information about AI4SOAR's inputs. Please consult the MI Digital Twin Management Platform's official documentation or contact support for detailed specifications about AI4SOAR's capabilities and requirements.;;Refused;Yes;No;auto
F7;factual;service;RAG;2;service;14346;4;SECSAC|SECSIM|SECOPSTWIN|SECINTERP;0.798|0.706|0.665|0.657;287;The Security Assurance Case Tool (SECSAC) produces a **structured OSCAL-based assurance case document** as its primary output. This document synthesizes security requirements, system information, and assurance patterns into a cohesive, standardized format to guide the assurance process.;;Correct;Yes;No;auto
F7;factual;service;COLD;2;rag-off;15280;0;;;255;The Security Assurance Case Tool (secSAC) is not listed in the current repository context. No relevant services were retrieved from the catalog. If you have additional details about this tool or its capabilities, feel free to share, and I’ll help further!;;Refused;Yes;No;auto
F8;factual;service;RAG;2;service;12259;4;ORO-5GLAB|ORO-3GPP16|AALTO-EDGE5G|PPC-EMOB;0.874|0.784|0.680|0.593;82;The license for the Orange 5G Lab (ORO-5GLAB) is **N/A (Partner Infrastructure)**.;;Correct;Yes;No;auto
F8;factual;service;COLD;2;rag-off;17500;0;;;367;The license information for the Orange 5G Lab (ORO-5GLAB) is not available in the current repository context. This service may not be listed in the MI Digital Twin Management Platform catalog, or its details might not include licensing terms. For precise licensing information, you may need to consult the service provider directly or refer to external documentation.;;Refused;Yes;No;auto
F9;factual;service;RAG;2;service;10794;4;SECOPSTWIN|SECDEVTWIN|SECANOD|SECAISOAR;0.696|0.656|0.566|0.562;87;"The title of SECOPSTWIN is **""Assurance-driven Security Operation Twin (SecOpsTwin)""**.";;Correct;Yes;No;auto
F9;factual;service;COLD;2;rag-off;9924;0;;;259;"The repository context retrieved does not contain information about ""SECOPSTWIN."" Please verify the service name or consult the MI Digital Twin Management Platform catalog directly for details. If you have additional context, share it so I can assist further.";;Refused;Yes;No;auto
F10;factual;service;RAG;2;service;17736;4;MAG|HTTP-SIM|MMT-PROBE|AI4SOAR;0.605|0.533|0.532|0.490;262;"MAG provides a **terminal-based** user interface, specifically a **command-line interface (CLI)**. It is operated via shell commands like `mag <attack> --target-ip <ip> --target-port <port>`. 

Source: [1] MAG - Montimage Attack Generator (MAG) (shortName: MAG).";;Correct;Yes;No;auto
F10;factual;service;COLD;2;rag-off;10372;0;;;292;The repository context indicates that no relevant services were retrieved, including MAG. Therefore, I cannot provide specific details about MAG's user interface from the platform catalog. For accurate information, please consult MAG's official website or contact their support team directly.;;Refused;Yes;No;auto
