id;category;expected_intent;config;rep;predicted_intent;latency_ms;sources_count;top_source_ids;top_source_scores;answer_length;answer;error;Correctness;Intent_ok;Hallucination;Notes
F1;factual;service;RAG;1;service;23823;4;SECVDR|SECDEVTWIN|SECAISOAR|SECOPSTWIN;0.835|0.684|0.663|0.647;85;The provider of the Vulnerability Discovery and Repair service (SECVDR) is **CERTH**.;;Correct;Yes;No;auto
F1;factual;service;COLD;1;rag-off;13899;0;;;190;The provider information for the Vulnerability Discovery and Repair service (secVDR) is not available in the current repository context. No relevant services were retrieved from the catalog.;;Refused;Yes;No;auto
F2;factual;service;RAG;1;service;25704;4;MMT-PROBE|HTTP-SIM|ORO-3GPP16|AI4SOAR;0.735|0.667|0.592|0.579;100;The current Technology Readiness Level (TRL) of the MMT Traffic Analysis Probe (MMT-PROBE) is **7**.;;Correct;Yes;No;auto
F2;factual;service;COLD;1;rag-off;21764;0;;;335;The repository context does not contain information about the Technology Readiness Level (TRL) of the MMT Traffic Analysis Probe (MMT-PROBE). This detail is unavailable in the current catalog. For further assistance, consider consulting the platform's official documentation or contacting support for detailed technical specifications.;;Refused;Yes;No;auto
F3;factual;service;RAG;1;service;17154;4;MAG|HTTP-SIM|MMT-PROBE|SECANOD;0.804|0.639|0.636|0.617;72;The Montimage Attack Generator (MAG) belongs to the **Attack** category.;;Correct;Yes;No;auto
F3;factual;service;COLD;1;rag-off;12997;0;;;226;The information about the Montimage Attack Generator (MAG) and its category is not available in the current repository context. Please check the MI Digital Twin Management Platform catalog for detailed service classifications.;;Refused;Yes;No;auto
F4;factual;service;RAG;1;service;23665;4;AALTO-LUMI|AALTO-EDGE5G|ITPAERO-CLUSTER|SECSIM;0.796|0.659|0.582|0.567;187;"The LUMI Supercomputer (AALTO-LUMI) is a **hardware** service. Its type is explicitly listed as ""Hardware"" in the repository context, and it is categorized under ""HPC & Compute Clusters.""";;Correct;Yes;No;auto
F4;factual;service;COLD;1;rag-off;15477;0;;;310;The repository context does not contain information about the LUMI Supercomputer (AALTO-LUMI). Therefore, I cannot confirm whether it is classified as a software or hardware service based on the provided data. For accurate details, please consult external sources or clarify your query with additional context.;;Refused;Yes;No;auto
F5;factual;service;RAG;1;service;37879;4;CSAM|SECSAC|SECINTERP|SECSIM;0.847|0.666|0.647|0.643;406;"The Compliance and Security Assurance Model (CSAM) supports the following standards:  
- **ISO/IEC 15408**  
- **EUCC**  
- **EN 17927**  
- **EN 17640**  
- **Cyber Security Act**  
- **Cyber Resilience Act**  
- **AI Act**  

It also aligns with regulatory frameworks like GDPR (mentioned in the description) and ISO 8000 for data quality, though these are not explicitly listed in the ""standards"" field.";;Correct;Yes;No;auto
F5;factual;service;COLD;1;rag-off;15268;0;;;248;The repository context does not provide specific information about the Compliance and Security Assurance Model (CSAM) or the standards it supports. For detailed insights, please consult official documentation or contact the platform's support team.;;Refused;Yes;No;no context (cold)
F6;factual;service;RAG;1;service;18428;4;AI4SOAR|SECASSURE4AI|AALTO-LUMI|SECAISOAR;0.645|0.579|0.548|0.522;99;AI4SOAR takes **Security Alerts** as input, specifically **Detection alerts emitted by MMT-Probe**.;;Correct;Yes;No;auto
F6;factual;service;COLD;1;rag-off;14060;0;;;262;The repository context does not contain information about AI4SOAR's inputs. This detail may not be available in the current catalog, or the service may not be listed. For further assistance, consider checking the repository again or providing additional context.;;Refused;Yes;No;auto
F7;factual;service;RAG;1;service;22271;4;SECSAC|SECSIM|SECOPSTWIN|SECINTERP;0.798|0.706|0.665|0.657;326;The Security Assurance Case Tool (SECSAC) produces a **Security Assurance Case** as its primary output, structured as an **OSCAL-based assurance case document**. This document synthesizes input data (requirements, system information, and assurance patterns) into a cohesive, standardized format to guide the assurance process.;;Correct;Yes;No;auto
F7;factual;service;COLD;1;rag-off;14433;0;;;170;The Security Assurance Case Tool (secSAC) is not listed in the current repository context. Please provide additional details or check the catalog for further information.;;Refused;Yes;No;auto
F8;factual;service;RAG;1;service;18009;4;ORO-5GLAB|ORO-3GPP16|AALTO-EDGE5G|PPC-EMOB;0.874|0.784|0.680|0.593;82;The license for the Orange 5G Lab (ORO-5GLAB) is **N/A (Partner Infrastructure)**.;;Correct;Yes;No;auto
F8;factual;service;COLD;1;rag-off;11232;0;;;211;The repository context does not include information about the license of the Orange 5G Lab (ORO-5GLAB). For details on licensing, please consult the official documentation or contact the platform's support team.;;Refused;Yes;No;no context (cold)
F9;factual;service;RAG;1;service;16263;4;SECOPSTWIN|SECDEVTWIN|SECANOD|SECAISOAR;0.696|0.656|0.566|0.562;87;"The title of SECOPSTWIN is **""Assurance-driven Security Operation Twin (SecOpsTwin)""**.";;Correct;Yes;No;auto
F9;factual;service;COLD;1;rag-off;10027;0;;;259;"The repository context retrieved does not contain information about ""SECOPSTWIN."" Please verify the service name or consult the MI Digital Twin Management Platform catalog directly for details. If you have additional context, share it so I can assist further.";;Refused;Yes;No;auto
F10;factual;service;RAG;1;service;25422;4;MAG|HTTP-SIM|MMT-PROBE|AI4SOAR;0.605|0.533|0.532|0.490;246;"MAG provides a **terminal-based** user interface, specifically a **command-line interface (CLI)**. Users interact with it via commands like `mag <attack> --target-ip <ip> --target-port <port>`. 

Source: [1] MAG - Montimage Attack Generator (MAG)";;Correct;Yes;No;auto
F10;factual;service;COLD;1;rag-off;13967;0;;;347;The repository context does not provide specific information about the user interface (UI) of MAG. This detail may not be included in the current catalog entries. For further clarification, you may need to consult the platform's documentation or repository for more detailed specifications. Let me know if you'd like assistance with anything else!;;Refused;Yes;No;no context (cold)
C1;comparative;service;RAG;1;service;31328;4;MMT-PROBE|MAG|AI4SOAR|SECANOD;0.571|0.556|0.541|0.502;800;"Montimage (MTI) provides the following services through the MI Digital Twin Management Platform:

1. **MMT-PROBE** (Monitor)  
   - *ShortName*: MMT-PROBE  
   - Analyzes pod network traffic for security alerts using DPI (Deep Packet Inspection).  

2. **MAG** (Attack)  
   - *ShortName*: MAG  
   - Generates HTTP attack traffic for testing in attack→detect→respond scenarios.  

3. **AI4SOAR** (Reaction)  
   - *ShortName*: AI4SOAR  
   - Orchestrates Kubernetes-based responses (e.g., NetworkPolicy, pod deletion) to security alerts.  

4. **SECANOD** (Ops Services)  
   - *ShortName*: SECANOD  
   - Uses AI for anomaly detection, threat intelligence integration, and mitigation recommendations.  

All services are software-based, containerized, and available via Montimage's Docker registry.";;Partial;Yes;No;auto: 4/8 listed
C1;comparative;service;COLD;1;rag-off;14374;0;;;126;The repository catalog does not list any services provided by Montimage. No relevant entries were retrieved for this provider.;;Refused;Yes;No;no context (cold)
