id;category;expected_intent;config;rep;predicted_intent;latency_ms;sources_count;top_source_ids;top_source_scores;answer_length;answer;error;Correctness;Hallucination;ConfigErrors;Notes
T1;tool-selection;service;RAG;2;service;23215;4;MMT-PROBE|AI4SOAR|CI-SIM|MAG;0.740|0.687|0.684|0.673;533;"To monitor traffic reaching your HTTP target pod and raise security alerts, deploy **MMT-PROBE** (shortName: `MMT-PROBE`). 

This tool injects as a sidecar container sharing the pod's network namespace, analyzes traffic (including HTTP requests), and emits **DPI alerts/reports** via its output channel. It requires configuration via `mmt-probe.conf` or the `HOST_INTERFACE` environment variable. 

MMT-PROBE is specifically designed for this use case, with inputs including pod network traffic and outputs including security alerts.";;Correct;No;;recommends MMT-PROBE
T2;tool-selection;service;RAG;2;service;34697;4;AI4SOAR|CI-SIM|MMT-PROBE|MAG;0.625|0.620|0.618|0.591;557;"The service that automatically cuts off an attacker's pod from the network after an alert is **AI4SOAR** (shortName: AI4SOAR). 

It applies namespace-scoped Kubernetes remediation actions, including **NetworkPolicy creation**, to isolate compromised pods. This response is triggered by security alerts ingested from **MMT-Probe** (which detects the attack). 

For context:
- **MMT-Probe** (Monitor category) generates alerts based on traffic analysis.
- **AI4SOAR** (Reaction category) uses those alerts to enforce network isolation via Kubernetes policies.";;Correct;No;;recommends AI4SOAR
T3;tool-selection;service;RAG;2;service;21456;4;SECVDR|SECDEVTWIN|SECINTERP|SECASSURE4AI;0.747|0.576|0.575|0.569;513;"For scanning source code and configuration files for vulnerabilities with automated fixes, use **SECVDR** (shortName: SECVDR).  

- **Provider**: CERTH  
- **Function**: Detects vulnerabilities in code and config files using a fine-tuned CodeBERT model, and generates automated fix suggestions via ML/GenAI.  
- **Inputs**: Your source code and configuration files.  
- **Outputs**: Detected vulnerabilities with proposed fixes.  

This service directly addresses your need for vulnerability discovery and repair.";;Correct;No;;recommends SECVDR
T4;tool-selection;service;RAG;2;service;19722;4;SECINTERP|CSAM|SECNCD|SECSAC;0.697|0.615|0.591|0.580;620;"The SECINTERP service (shortName: SECINTERP) is designed for non-cybersecurity experts. Its **Level 1 (Cybersecurity Standard Mapping Assistant)** helps identify relevant cybersecurity standards and norms based on your role and industry sector. This aligns with your need to understand applicable standards without prior expertise. 

Other services like CSAM, SECNCD, and SECSAC focus on compliance checking, gap detection, or assurance case creation, which are better suited for developers or security experts. 

**Recommendation:** Use SECINTERP to get role- and sector-tailored cybersecurity standard recommendations.";;Correct;No;;recommends SECINTERP
T5;tool-selection;service;RAG;2;service;35598;4;SECASSURE4AI|SECATTSIM|SECANOD|AI4SOAR;0.629|0.616|0.587|0.562;788;"To test your machine-learning component against adversarial attacks, consider using **SECATTSIM** (secAttSIM) from Tecnalia (TEC). This service provides tools for simulating **white-box and black-box adversarial AI attacks** across operation scenarios, including AI-era attack simulations. It operates in parallel with IoT-edge-cloud systems, allowing you to test resilience in realistic conditions.

Additionally, **SECASSURE4AI** (secAssure4AI) can assess your component’s **robustness** as part of its security and AI trustworthiness evaluation, including automated testing for LLM-based services. 

Both services are designed for attack simulation and resilience testing. Check their input requirements (e.g., operation scenario definitions for secAttSIM) to align with your use case.";;Correct;No;;recommends SECASSURE4AI
T6;tool-selection;service;RAG;2;service;22190;4;SECNCD|SECDEVTWIN|SECOPSTWIN|SECSAC;0.713|0.612|0.599|0.595;542;"For detecting design-time regulatory gaps, **SECNCD** (AI-based Non-Compliance Detector) is the best fit. It analyzes system artefacts and applicable regulations/standards during design, identifying non-compliance issues and recommending changes. 

**Key details:**
- **Provider:** CERTH  
- **Inputs:** System & Compliance Requirements, Design-time artefacts  
- **Outputs:** Non-Compliance Report with recommended changes  
- **TRL:** Current 5 (mature)  

This tool directly addresses your need for pre-deployment regulatory gap detection.";;Correct;No;;recommends SECNCD
B1;ambiguity;service;RAG;2;service;46282;4;MMT-PROBE|HTTP-SIM|MAG|AI4SOAR;0.673|0.614|0.527|0.524;1028;"The MMT tool referenced in the repository is specifically the **MMT-PROBE** (shortName: `MMT-PROBE`), part of the Montimage Monitoring Tool (MMT) suite. Here are its key details:

- **Provider**: Montimage (MTI)  
- **Category**: Monitor  
- **Function**: A **DPI (Deep Packet Inspection)** probe that analyzes pod network traffic by injecting as a sidecar container. It requires `NET_ADMIN` and `NET_RAW` permissions and is configured via `mmt-probe.conf` or the `HOST_INTERFACE` environment variable.  
- **Inputs**: Pod network traffic (packets on the target pod interface).  
- **Outputs**: **DPI alerts/reports** (security alerts) consumed by **AI4SOAR** for orchestration.  
- **Use Case**: Part of Montimage’s attack→detect→respond scenario, acting as the **monitor** module.  
- **Deployment**: Shipped as the `montimage/mmt` Docker image (`registry.montimage.eu/montimage-mti/mmt-probe:v1.0.0`).  

It works alongside **HTTP-SIM** (target module) and **MAG** (attack module), with **AI4SOAR** handling response actions.";;Partial;No;;1 candidates named
B2;ambiguity;service;RAG;2;service;23550;4;AI4SOAR|SECANOD|ITPAERO-CLUSTER|SECSAC;0.524|0.518|0.479|0.473;379;The SOAR in the catalog refers to **AI4SOAR** (shortName: AI4SOAR), a Reaction module provided by Montimage (MTI). It ingests security alerts from **MMT-Probe** and automates Kubernetes-based remediation actions, such as creating **NetworkPolicies**, deleting pods, or scaling down Jobs. It operates via a ServiceAccount and is part of Montimage’s attack→detect→respond workflow.;;Partial;No;;1 candidates named
B3;ambiguity;service;RAG;2;service;23218;4;HTTP-SIM|CI-SIM|SECSIM|SECATTSIM;0.558|0.548|0.536|0.525;514;"Could you clarify which simulator you're interested in? The repository includes multiple simulators with different purposes:

1. **HTTP-SIM** (Target) - Simulated HTTP server for attack/detection scenarios
2. **CI-SIM** (Target) - Critical infrastructure simulation with blocklist capabilities
3. **SECSIM** (Dev Services) - Security impact analysis for hardware/software changes
4. **SECATTSIM** (Ops Services) - AI-driven attack simulation for IoT-edge-cloud systems

Let me know which one you'd like to explore!";;Correct;No;;4 candidates named, asks
N1;constraint;service;RAG;2;service;21761;4;SECAISOAR|SECANOD|MAG|PPC-EMOB;0.518|0.517|0.504|0.495;204;"The Montimage service **not** in the Ops Services category is:  
- **MAG** (shortName: MAG, category: Attack).  

Other Montimage services listed (SECAISOAR, SECANOD) fall under the Ops Services category.";;Partial;No;;lists only MAG, implied exhaustive (retrieval-bound)
