id;category;expected_intent;config;rep;predicted_intent;latency_ms;sources_count;top_source_ids;top_source_scores;answer_length;answer;error;Correctness;Hallucination;ConfigErrors;Notes
T1;tool-selection;service;RAG;1;service;33089;4;MMT-PROBE|AI4SOAR|CI-SIM|MAG;0.740|0.687|0.684|0.673;584;"To monitor traffic reaching your HTTP target pod and raise security alerts, deploy **MMT-PROBE** (shortName: `MMT-PROBE`). 

This tool injects as a sidecar container sharing the pod's network namespace, analyzes traffic, and emits **DPI alerts/reports** via its output channel. It requires `NET_ADMIN` and `NET_RAW` permissions and can be configured using `mmt-probe.conf` or the `HOST_INTERFACE` environment variable. 

Docker image: `registry.montimage.eu/montimage-mti/mmt-probe:v1.0.0`. 

For alerting, pair it with **AI4SOAR** (shortName: `AI4SOAR`) to automate response actions.";;Correct;No;;recommends MMT-PROBE
T2;tool-selection;service;RAG;1;service;31163;4;AI4SOAR|CI-SIM|MMT-PROBE|MAG;0.625|0.620|0.618|0.591;324;"The service that automatically cuts off an attacker's pod from the network after an alert is **AI4SOAR** (shortName: AI4SOAR). 

It applies namespace-scoped Kubernetes remediation actions, including **NetworkPolicy creation** to isolate malicious pods, as part of its orchestrated response to security alerts from MMT-Probe.";;Correct;No;;recommends AI4SOAR
T3;tool-selection;service;RAG;1;service;26329;4;SECVDR|SECDEVTWIN|SECINTERP|SECASSURE4AI;0.747|0.576|0.575|0.569;391;For scanning source code and configuration files for vulnerabilities with automated fixes, use **SECVDR** (shortName: SECVDR). It detects vulnerabilities using a fine-tuned CodeBERT model and provides automated repair suggestions via ML/GenAI. Inputs: source code + configuration files. Outputs: detected vulnerabilities with fixes. Docker image: `registry.montimage.eu/certh/secvdr:v1.0.0`.;;Correct;No;;recommends SECVDR
T4;tool-selection;service;RAG;1;service;27241;4;SECINTERP|CSAM|SECNCD|SECSAC;0.697|0.615|0.591|0.580;620;"The SECINTERP service (shortName: SECINTERP) is designed for non-cybersecurity experts. Its **Level 1 (Cybersecurity Standard Mapping Assistant)** helps identify relevant cybersecurity standards and norms based on your role and industry sector. This aligns with your need to understand applicable standards without prior expertise. 

Other services like CSAM, SECNCD, and SECSAC focus on compliance checking, gap detection, or assurance case creation, which are better suited for developers or security experts. 

**Recommendation:** Use SECINTERP to get role- and sector-tailored cybersecurity standard recommendations.";;Correct;No;;recommends SECINTERP
T5;tool-selection;service;RAG;1;service;36208;4;SECASSURE4AI|SECATTSIM|SECANOD|AI4SOAR;0.629|0.616|0.587|0.562;792;"To test your machine-learning component against adversarial attacks, use **SECATTSIM** (shortName: SECATTSIM). This service provides tools for simulating **white-box and black-box adversarial AI attacks** across operation scenarios.  

**How it works**:  
- **Inputs**: Define your operation scenario and IoT-edge-cloud system setup.  
- **Outputs**: Simulated adversarial attacks (e.g., perturbations, evasion techniques) to test your component's robustness.  
- **Use case**: Achieves **80%+ accuracy in attack simulation**, helping identify vulnerabilities.  

Deploy the tool via its Docker image: `registry.montimage.eu/tecnalia-tec-/secattsim:v1.0.0`.  

For automated testing, pair it with **SECASSURE4AI** (shortName: SECASSURE4AI) to generate security assurance reports post-testing.";;Correct;No;;recommends SECASSURE4AI
T6;tool-selection;service;RAG;1;service;29119;4;SECNCD|SECDEVTWIN|SECOPSTWIN|SECSAC;0.713|0.612|0.599|0.595;601;"For detecting design-time regulatory gaps, **SECNCD** (AI-based Non-Compliance Detector) is the best fit. It analyzes system artefacts and applicable regulations/standards during design, identifying non-compliance issues and recommending changes. 

**Key details:**
- **Provider:** CERTH  
- **Inputs:** System & Compliance Requirements, Design-time artefacts  
- **Outputs:** Non-Compliance Report with recommended changes  
- **TRL:** Current 5 (mature)  
- **Docker Image:** `registry.montimage.eu/certh/secncd:v1.0.0`  

It directly addresses your need for pre-deployment regulatory gap detection.";;Correct;No;;recommends SECNCD
B1;ambiguity;service;RAG;1;service;54318;4;MMT-PROBE|HTTP-SIM|MAG|AI4SOAR;0.673|0.614|0.527|0.524;947;"The MMT tool is represented in the repository by **MMT-PROBE** (shortName: `MMT-PROBE`), a **Monitor** module from Montimage (MTI). Here's a summary:

- **Purpose**: Traffic analysis probe using DPI (Deep Packet Inspection) to detect security threats.  
- **Deployment**: Injected as a sidecar container in a pod, sharing its network namespace. Requires `NET_ADMIN` and `NET_RAW` permissions.  
- **Configuration**: Controlled via `mmt-probe.conf` (libconfig) or the `HOST_INTERFACE` environment variable.  
- **Functionality**: Analyzes pod network traffic (e.g., packets on the `HOST_INTERFACE`), emitting **security alerts/reports** consumed by **AI4SOAR** for response orchestration.  
- **Use Case**: Part of Montimage’s attack→detect→respond scenario, monitoring traffic in Kubernetes environments.  
- **Docker Image**: `registry.montimage.eu/montimage-mti/mmt-probe:v1.0.0`.  

No other MMT components are listed in the repository context.";;Partial;No;;1 candidates named
B2;ambiguity;service;RAG;1;service;30082;4;AI4SOAR|SECANOD|ITPAERO-CLUSTER|SECSAC;0.524|0.518|0.479|0.473;459;The SOAR in the catalog is **AI4SOAR** (shortName: AI4SOAR), provided by Montimage (MTI) under the **Reaction** category. It ingests security alerts from **MMT-Probe** and automates **namespace-scoped Kubernetes remediation actions**, such as creating **NetworkPolicy**, deleting **pod**, or scaling down **Job** resources. It acts as a reaction module in the Montimage **attack→detect→respond** workflow, using a ServiceAccount to execute playbook responses.;;Partial;No;;1 candidates named
B3;ambiguity;service;RAG;1;service;30512;4;HTTP-SIM|CI-SIM|SECSIM|SECATTSIM;0.558|0.548|0.536|0.525;596;"There are multiple simulators in the repository. Could you clarify which one you're interested in? Options include:

1. **HTTP-SIM** (Montimage) - Simulated HTTP server for attack/detection scenarios  
2. **CI-SIM** (Montimage) - Critical infrastructure HTTP simulation with blocklist features  
3. **SECSIM** (Montimage) - Security impact analysis for hardware/software changes  
4. **SECATTSIM** (Tecnalia) - AI-driven attack/incident simulation for IoT-edge-cloud systems  

Let me know your focus area (e.g., attack simulation, infrastructure testing, security analysis) for targeted details.";;Correct;No;;4 candidates named, asks
N1;constraint;service;RAG;1;service;26128;4;SECAISOAR|SECANOD|MAG|PPC-EMOB;0.518|0.517|0.504|0.495;189;"The Montimage service not in the Ops Services category is:  
- **MAG** (shortName: MAG) | Category: Attack  

Other Montimage services (SECAISOAR, SECANOD) are in the Ops Services category.";;Partial;No;;lists only MAG, implied exhaustive (retrieval-bound)
